rank,company,gross_mm,net_mm,freight_types
1,C.H. Robinson,11563.0,1706.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
2,Total Quality Logistics,7363.0,1436.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
3,J.B. Hunt Transport Services,7084.0,,"rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
4,WWEX Group,5181.0,925.0,"air/expedited, LTL, dry van truckload, refrigerated, flatbed/heavy haul, parcel"
5,RXO,4225.0,563.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
6,Echo Global Logistics,4000.0,,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
7,Arrive Logistics,2691.0,,"rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
8,Landstar System,2620.0,,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
9,Schneider,2195.0,275.0,"rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
10,Mode Global,2100.0,,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
11,Uber Freight,,,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
12,Hub Group,,,"LTL, dry van truckload, refrigerated, flatbed/heavy haul"
13,Armstrong Transport Group,1350.0,200.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
14,Allen Lund Co.,1342.0,152.0,"rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
15,Priority-1 Inc.,1310.0,324.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
16,ITS Logistics,1300.0,192.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, bulk/tank"
17,Scotlynn,1260.0,179.0,"LTL, dry van truckload, refrigerated, flatbed/heavy haul"
17,Ryan Transportation Service,1260.0,,"rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
19,ArcBest Corp.,1250.0,172.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
20,Traffix,1200.0,197.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
21,Axle Logistics,1195.0,159.0,"rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
22,Nolan Transportation Group,1170.0,,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
23,Trinity Logistics,1100.0,185.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
24,MegaCorp Logistics,984.0,149.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
25,Knight-Swift Transportation,935.0,155.0,"rail/intermodal, LTL, dry van, refrigerated, flatbed/heavy haul, ocean container"
26,Integrity Express Logistics,,,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
26,Spot Inc.,933.0,108.0,"LTL, dry van truckload, refrigerated, flatbed/heavy haul"
28,PLS Logistics Services,915.0,148.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
